house_type,orientation,area,level,decoration,price
23,1,91.54,3,1,108
30,1,117.8,1,1,319
25,6,89.41,3,1,260
30,1,142,3,2,410
30,4,143.92,3,2,270
23,1,91.61,2,2,151
18,1,74.71,3,2,129
30,3,134.63,2,2,380
32,4,189.66,3,2,1175
30,4,113.42,1,2,478
23,4,87.28,2,2,155
32,4,143,3,1,450
25,1,137.83,2,4,202
25,12,89.31,1,4,226
44,4,421.28,1,1,2350
18,1,92,2,2,210.5
34,1,184.12,2,2,1200
18,1,76.55,1,2,205
23,6,88.84,2,2,122
20,6,70.51,2,2,213
15,4,124.3,2,2,228
25,12,141,1,2,480
15,6,54,2,1,60
38,4,123,1,1,180
20,12,92.78,2,2,189
20,1,91.79,3,2,310
22,9,90,3,2,150
25,12,93,1,1,236
23,2,92.18,2,2,330
30,2,137.13,1,2,540
20,1,77.92,3,4,155
30,1,99.65,3,2,270
23,12,82,1,2,210
25,6,128.29,1,2,296.2
15,2,85.44,1,4,162
20,8,88.79,1,2,228
20,12,150.81,2,2,300
30,1,166.88,3,2,385
20,12,70.45,3,2,119
27,4,136.06,3,1,425
15,4,75.49,1,4,125
18,1,84.48,3,2,97
30,1,179.39,1,2,800
22,1,95.5,3,2,305
18,2,78.9,2,5,138.5
25,12,123,2,2,139.5
18,6,83.94,3,4,218
27,4,366,2,2,1420
20,4,107.03,3,2,181.2
25,4,115.8,3,2,331
22,6,115.01,3,2,230
23,2,87.73,2,2,158
25,12,119.41,3,2,231
42,4,254,1,1,260
23,2,89.5,3,2,350
15,2,72.11,1,2,150
17,12,86.29,2,2,105
18,12,89.01,1,4,180
25,1,92.79,2,2,139
23,2,73.29,3,1,137
18,4,83.59,3,2,170
25,1,100.03,2,2,126
37,6,245,2,1,474.8
30,8,142.56,2,2,655
32,1,204.86,1,4,704
39,12,307.26,1,2,1085.95
27,9,129.91,1,1,145
33,1,211.6,1,2,1300
15,12,82.94,3,2,153.8
15,4,84.45,3,4,197
30,1,125.54,1,5,380
42,8,337.95,1,2,2400
18,8,88.59,3,2,326
15,4,57.07,3,4,99
25,1,160,1,2,780
30,12,111.5,3,2,249
25,12,89.31,1,4,226
32,1,189.78,2,2,1130
15,4,77.23,2,2,198
22,1,106.18,3,2,256
32,4,240,2,3,800
23,6,90.26,2,2,186
20,6,89.63,1,2,98
23,8,100.36,1,2,250
25,9,113.69,1,2,285
32,4,190,1,1,740
23,6,89.65,3,2,318
15,12,89.76,1,2,238
20,6,96.91,2,2,179
15,3,71.45,2,2,143
30,12,203.23,2,1,540
25,4,109.02,1,2,247
22,2,102,3,4,135
42,4,454.96,1,1,1150
30,1,148.01,1,2,258
18,12,79.66,3,4,212
15,2,63.31,2,2,156
20,6,87.5,3,4,88
25,4,120.73,1,2,198
15,4,71.66,3,2,104
25,1,115,2,1,110
30,1,156.48,2,1,410
39,4,210.59,3,2,681
25,6,117.04,3,4,235
18,1,74,2,2,98
15,4,65.91,2,2,160
15,4,55.78,1,2,70
30,12,149.94,3,4,206
30,12,161.78,1,2,326
20,4,78.51,3,2,89
27,2,133.84,3,2,424.93
35,1,137.42,3,2,200
30,2,121.2,3,2,420
30,4,138.8,3,2,125
25,12,81.74,2,2,131
20,9,85.67,2,1,200
22,9,135.45,1,2,478.72
32,4,289,1,1,303
25,4,102,2,1,62
32,1,193.65,1,1,1250
18,12,86.5,2,4,181
32,1,173,1,2,620
27,2,138.6,3,2,640
30,4,139.04,1,2,438
23,3,88.6,2,2,168
20,1,93.92,3,2,273
36,1,252.68,2,3,1680
30,1,137.49,3,1,420
32,4,199,1,1,680
25,4,162.36,1,4,450
25,1,190.54,2,2,1280
27,8,119.75,1,2,150
23,4,98.94,3,2,204
37,12,370.89,3,2,2780
30,1,142,2,2,450
20,4,78.84,2,2,130
20,8,91.03,3,4,320
25,8,108.12,1,1,365
32,4,150,1,1,300
25,1,100.72,1,2,168
18,4,88.01,3,2,175
10,1,40.91,1,4,61
23,2,71.09,1,2,188
32,1,152.61,3,1,458
30,6,161.8,3,1,498
37,1,219.15,3,2,1260
25,1,113,2,2,420
10,4,55.87,2,4,82
15,9,67.58,2,2,110
29,4,253.87,2,2,1720
30,9,187,2,2,270
30,1,139.79,1,1,400
37,1,278,1,3,1600
25,4,92,3,2,106
18,8,73.65,1,4,166
37,6,267,2,1,498
30,4,161,1,2,530
25,2,100.27,3,1,185
30,6,135.21,2,2,267
25,4,143,1,1,466
27,12,155.63,3,2,540
23,2,66.12,2,2,159
25,6,121.47,2,2,273.8
18,2,66.09,3,2,153
25,6,171.07,2,2,478
39,1,248,1,1,1500
25,8,101.41,3,2,291.66
20,1,128.88,2,2,280
32,1,190,3,1,550
18,4,66,2,2,133
35,1,185.2,2,2,1160
17,12,90.82,2,2,268
37,4,237.58,1,2,348
25,1,121.48,1,1,190
23,6,88.01,2,2,176
22,4,88.04,3,2,108
7,8,56.32,2,2,136
30,1,168.38,3,1,655
25,8,97.3,3,2,118
30,1,183.01,2,1,430
22,8,108.64,2,1,315
32,9,249,1,2,700
39,1,248.9,3,1,1450
30,2,97.84,1,2,440
18,1,70.01,1,2,132
25,4,89.55,1,4,243
30,12,115.46,2,2,185
23,8,81.41,2,2,110
25,1,104.52,1,2,210
25,12,90.22,3,2,132
25,12,104.85,2,2,200.21
30,1,125.78,2,1,103
15,2,60.93,3,2,152.5
22,9,102.19,1,1,246
32,6,148.3,3,3,570
25,12,106,3,5,320
25,4,99.61,1,2,153
10,1,40,2,2,52
25,1,110,2,2,75.5
25,4,99.02,2,5,190
32,8,145,2,1,580
18,8,88,1,1,303
35,4,233.26,1,4,520
37,12,239.41,3,2,799
37,1,239.48,3,1,680
15,12,83.14,3,2,71
39,1,141,1,3,780
27,4,136.2,3,1,390
32,8,202,2,2,1380
22,2,97,3,2,320
15,3,54.69,3,2,105
39,8,311.08,1,2,1098
25,1,93,1,1,55
25,1,109.41,2,1,235
18,1,84.45,2,2,155
23,1,87.22,3,2,116
20,4,82.57,2,2,205
22,12,89.63,2,4,252
20,12,91.01,2,2,152.8
23,1,75.6,2,2,152
25,6,131.58,3,4,295
30,4,165.19,1,2,169
42,2,253,3,2,950
23,2,90.9,2,2,283
20,8,91.03,3,4,320
23,1,91.9,1,2,306
30,1,107,1,2,420
30,2,128,2,2,480
30,6,168.47,1,2,245
10,1,48,1,2,38
27,1,91.86,3,2,321
25,12,92.54,2,1,228
27,4,121,1,3,290
25,1,107.49,1,2,303
25,4,103.65,3,2,260
15,1,43,3,2,68.5
25,4,120.29,1,2,368
23,4,142,1,2,555
50,1,360.38,1,1,1250
22,1,100.89,2,2,318
25,2,188.96,2,2,660
10,4,95.8,2,2,311
22,6,89.59,3,2,126
25,12,131.13,2,2,435
22,8,123.13,3,2,446
22,4,80,1,4,75
23,1,81,2,1,115
30,4,182.83,1,2,840
18,3,79.44,1,2,173
44,4,421.28,1,1,2350
25,12,100.52,2,2,345
25,1,105.68,2,3,215
15,12,57.77,2,2,109
25,8,89.18,3,2,136
30,4,144,3,2,290
20,6,89.39,3,2,185.5
25,4,110.61,3,4,119.8
25,12,116.43,2,4,360
10,4,57,2,2,198
32,12,216.13,1,1,516
18,1,65.73,2,2,182
32,4,97.9,1,1,285
32,1,197.34,2,2,620
23,2,91.06,3,2,285
30,12,179.35,1,4,320
15,12,77.3,2,2,118
25,8,91.35,1,2,169.8
20,1,102,1,2,203
20,12,73.87,3,2,240
50,4,462.95,2,1,1800
18,4,80.31,3,2,123
23,4,100.17,1,2,169
18,4,76.81,1,2,182
20,4,68.53,3,4,69
15,4,75.4,3,4,120
18,12,100.38,3,2,178.5
23,4,84.88,3,2,168
35,1,130.57,3,2,530
15,6,71.55,3,2,120
23,4,86.56,1,2,260
39,1,141,1,3,780
18,2,72.87,1,2,160
30,1,127.07,1,2,358
23,12,100.41,2,2,235
18,12,91.6,1,2,163
15,2,77.4,1,2,253
39,1,248.9,3,2,1500
30,1,209,1,1,600
17,4,106.22,2,2,385
20,6,84.13,3,2,178
30,12,140.93,1,2,195
23,8,81.34,1,2,164
20,1,100.27,3,1,380
27,1,153,1,2,471.15
25,12,93.04,3,2,170
18,2,95.92,1,2,252
25,1,107,2,2,161
32,8,190,1,2,668
23,4,89.93,1,2,183
42,9,229.88,1,2,830
20,1,88.39,2,1,210
32,2,193.59,2,2,1100
30,4,152.51,3,1,372
25,8,104.85,3,2,248
20,4,105.18,3,2,228
23,1,86.05,3,2,115
25,3,97.93,1,2,235
30,4,142.53,1,2,258
15,8,74.45,3,2,165
25,1,87.87,3,2,292
10,4,51.53,3,2,94
25,1,92.62,2,1,166
42,4,311.69,1,1,1880
25,2,183.94,1,4,560
30,6,136,3,1,450
23,3,91.17,3,2,165
32,1,275.46,3,1,850
30,12,126,2,4,368
22,2,105.78,2,1,340
15,2,88.57,3,2,185
7,9,29.42,2,2,55
23,1,92.04,1,2,208
25,6,89.56,3,1,43
32,2,218,2,3,1200
15,4,69.43,1,4,170
29,6,262.94,2,2,1350
20,6,79.52,2,2,123
22,4,90.33,2,2,195
23,8,88.39,1,2,235
23,9,80.31,3,2,195
22,6,107.44,1,2,440
15,6,70.93,2,2,180
27,1,199,2,3,698
18,1,76.39,1,2,126
30,4,130.88,2,1,571
27,4,159.23,2,1,508
34,4,289,1,1,305
18,4,92.42,1,2,145
23,6,96.37,2,1,340
15,1,86.5,1,4,233
25,1,139.86,1,1,550
25,12,84.95,3,4,192
37,4,248.9,1,3,1380
23,4,93.4,3,4,166
30,12,160.95,3,2,380
27,6,118.41,3,2,265
25,6,104.67,3,2,149
18,1,49.69,1,4,75
22,4,103.32,3,2,139
59,1,328,2,2,1200
25,4,100.32,1,2,179
39,9,295.82,1,1,580
23,9,92.23,3,2,142
30,12,149.2,1,1,575
25,6,123.13,3,2,435
32,4,189.53,1,1,1050
34,3,255.77,1,2,799
23,1,87.36,3,5,150
25,12,114.75,3,2,315
23,1,83.08,2,2,141
23,1,80.66,1,2,168
35,3,109.61,3,2,303
33,1,163.79,1,2,400
32,4,254.41,1,1,470
27,4,266,1,2,1350
35,1,257.74,3,4,812
23,2,83.78,2,2,131
20,1,67.86,3,2,175
25,1,143.92,3,2,395
30,8,124.28,1,2,402
23,3,91.37,3,2,115
25,3,110.46,1,2,219
30,4,117,3,1,181
25,1,130.94,1,2,203
15,12,56.87,2,5,182
18,4,82.87,1,2,183
20,12,69.67,1,2,106
37,12,129.88,1,2,313
18,4,94.75,1,4,230
23,4,90.01,3,2,210.8
25,8,105.27,2,2,145
18,6,70.1,3,2,195
25,2,127.71,1,2,240
32,4,192.57,1,2,270
30,8,149.87,3,1,720
27,1,171.1,1,2,664
18,2,82,3,2,200
23,2,73.29,2,1,139.5
25,4,100,1,4,115
23,1,109.75,1,4,167
10,4,59.49,3,2,137
23,8,88.39,1,2,235
23,12,78.75,2,2,142
22,1,90.83,3,2,150
25,1,85.38,2,2,121
25,4,116.99,2,2,290
27,4,179.23,3,2,480
15,9,55.61,2,2,119
23,2,96.64,2,2,345
10,1,44.5,1,1,72
25,1,104.07,2,4,328
15,4,76.36,3,4,125
30,6,133.23,1,2,375
18,8,73.35,3,1,220
32,8,196.09,1,1,1050
30,6,189.26,2,4,367
22,12,124.02,2,2,240
23,8,83.76,2,2,132
23,1,92.04,3,2,220
25,2,101.04,2,2,338
10,2,51.8,2,2,119
10,6,51.08,1,4,71.4
30,1,115.97,1,2,152
15,8,61.81,2,4,72
45,1,257,3,5,880
37,1,251.17,1,2,1890
22,1,131.96,1,2,410
30,6,190,3,2,368.18
23,1,77,3,2,97
30,12,118.27,3,2,320.63
25,1,94,2,4,63
30,4,246.93,3,4,492
18,1,89.12,2,4,59
23,4,96.03,1,2,176
18,12,86.08,2,2,201
27,12,120.25,2,1,340
37,12,244.42,1,1,295
18,4,84.23,1,2,186
20,12,90.93,1,2,133
22,6,134.86,1,2,189
20,12,69.67,1,2,106
20,12,87.34,2,2,162
18,9,85.19,1,1,92
30,9,106.62,1,2,188
30,2,125.2,2,4,299
15,6,75.58,3,2,240
18,12,86.5,2,2,219
25,2,95.51,3,4,325
32,12,161.8,1,1,468
30,1,131.04,1,2,416
30,12,165.41,1,1,185
58,8,380,1,2,1800
18,4,54.2,3,1,65
20,4,78.89,3,2,177
10,1,34.9,1,2,35
25,4,104.44,2,2,150
35,1,148,2,2,620
23,9,78.09,1,2,170
25,12,86.41,2,2,163.88
30,4,130.14,1,5,482
15,12,57.87,3,4,106
44,4,291,1,1,1200
32,4,179,1,1,205
25,1,120.97,1,4,520
25,2,140.11,2,2,269
30,4,113.42,1,2,375
27,6,145.8,3,2,270
23,1,84,2,2,269
30,4,137.47,3,2,418
30,1,173,3,2,572
25,4,109.45,2,5,266
15,8,80.61,3,2,202
39,9,246.73,1,4,960
32,2,175,2,1,680
25,12,140.28,3,4,600
29,4,202.31,2,2,788
18,12,81.71,2,4,148
29,2,209.83,1,2,450
39,6,221.9,3,2,1513
20,3,89.95,2,2,225
18,8,69.76,1,4,169
15,8,89.08,1,4,202
25,6,120.12,3,1,222.45
22,3,102.53,3,1,290
37,4,219.37,2,2,1350
25,1,141,3,1,458
15,2,71.56,1,4,86
30,1,157.9,1,2,750
25,1,104.73,1,2,168
7,4,42.4,1,2,145
49,8,357.28,1,1,1400
22,1,113.03,3,2,342
15,4,82.42,1,4,190
20,3,79.8,3,5,145
22,4,107.21,1,2,220
25,1,109.87,1,4,375
17,12,83.55,2,2,230
25,1,88.6,3,4,186
18,1,74.58,2,4,120
49,8,343,1,1,950
18,4,80,3,4,73.8
25,8,127.3,1,1,245
25,8,100.78,3,2,420
15,12,54.74,3,2,190
25,12,85,1,2,210
30,1,136.25,3,2,430
27,1,150.59,2,1,215
15,4,85.7,3,1,107
32,1,189.8,2,2,1150
25,12,108.71,3,4,275
15,12,57.87,3,4,120
23,1,109,2,1,212
27,8,171,1,2,650
20,3,112.12,2,4,252
25,1,119.72,2,2,344
18,12,84.68,3,4,243
22,8,129.9,3,4,130
30,3,136,2,2,520
25,2,117.58,1,1,180
18,3,73.53,3,2,155
22,4,89.59,3,2,137
25,1,99.92,3,2,319
25,4,137.42,2,2,320
15,2,75.18,1,2,175
25,2,120.67,2,2,257
32,1,186,2,1,1020
15,9,63.59,3,2,225
32,1,128.3,2,2,520
15,4,62.54,1,2,103
18,2,84.33,3,2,313
25,1,130.94,1,2,203
28,1,145.79,1,4,121
37,4,231,1,1,546
15,4,85.7,3,1,107
25,2,137.13,3,2,428
30,1,111.36,1,2,120
15,4,83.8,1,1,70
20,3,75.32,2,2,135
30,1,182.07,3,2,600
15,4,79.37,1,2,182
27,1,117.19,1,1,220
43,4,303,1,4,900
30,1,112.61,1,1,235
48,2,385,1,4,1800
23,1,86.12,3,2,120
20,4,86.07,3,2,165
15,8,76.7,2,4,275
25,1,121.48,1,1,190
34,1,185.43,2,2,980
25,1,130.45,2,2,315
30,4,141,3,1,280
32,1,191.72,1,5,576
22,9,139.2,1,4,320
18,1,75.95,1,2,290
36,4,287,3,1,679
32,1,183.62,1,3,600
17,1,109.65,1,4,255
23,4,85.72,2,2,125
25,1,124.3,2,2,355
27,12,124.66,3,2,310
15,12,74.13,1,4,210
23,4,88.8,3,2,165
25,4,108,3,1,160
22,2,89.51,3,2,240
32,4,189.66,3,2,1175
33,4,122.73,3,5,418
25,1,142,2,1,545
39,4,248.9,3,1,1350
18,1,72.01,1,4,150
25,4,105,1,2,205
27,12,108.21,1,2,215
18,3,73.38,2,2,96
30,12,143,1,1,525
25,6,126.58,1,4,228
39,12,307.26,1,2,1650
25,12,111,2,2,112
37,12,370.89,3,2,2680
36,4,365.79,3,2,3000
32,4,128.08,3,4,160
30,1,111.36,1,2,120
15,12,59.78,1,2,85
15,8,85.44,1,2,160
32,6,132.5,1,1,392
22,12,200.52,2,1,380
23,1,95.44,1,2,235
22,8,106.38,2,2,210
25,3,143.83,1,1,403
25,6,105,2,2,213
25,12,93.66,1,2,260
25,2,100.27,3,1,185
25,4,80.46,3,2,220
25,12,86.7,1,2,160
15,4,85,2,2,165
23,6,89.05,1,2,195
25,12,129,1,2,115
27,2,193.23,3,5,700
27,2,171,2,3,850
18,1,87.93,2,2,110
20,6,85.28,1,2,180
23,2,98.17,2,2,186
25,12,107.34,3,2,209.99
10,1,45,3,2,70
32,1,249.5,2,1,936
23,8,89.4,3,1,101
36,4,245.15,2,1,1225
15,3,54.69,3,2,105
25,1,99.48,1,4,245
15,1,85.69,3,5,158
18,6,80.26,3,4,241
37,1,138.6,3,1,520
32,8,229,3,1,680
36,4,245.15,2,1,900
30,1,116.2,3,2,155
18,12,103.37,3,4,276
23,1,81.85,2,2,120
22,8,97.87,2,2,225
32,1,192.82,1,2,890
30,1,170.15,2,4,520
15,1,58.83,3,2,161
25,12,86.27,3,1,212
23,1,91.88,1,2,398
30,6,120.88,2,2,143
22,4,89,3,2,260
32,4,189.65,1,2,1200
27,2,183.12,2,2,567.72
49,8,291,1,1,1300
22,3,90.61,3,2,95
30,6,87.99,3,1,230
18,2,74,2,2,180
20,1,82.25,3,2,225
30,4,237.9,2,4,566
27,12,154.88,3,2,368
25,2,87.62,2,2,245
25,8,125.82,2,2,379
25,1,123.9,2,2,620
27,4,99.75,2,4,275
18,1,81.24,3,2,136
30,4,193.67,3,2,1250
15,1,59.07,3,4,134.6
30,1,164.7,2,2,580
23,1,90.79,3,2,330
25,4,144.66,2,1,385
10,1,40.91,1,4,61
23,8,88.46,2,2,165
25,9,113.69,1,2,280
32,12,156,1,2,452
18,4,63.43,3,1,71
30,8,141,1,2,240
30,4,135,3,5,338
18,8,89.88,2,4,238
27,12,124.66,3,2,310
18,1,71.74,2,2,99
25,12,128.69,2,1,160
15,12,78.51,3,2,135
42,8,332,1,1,2700
32,12,169.52,3,5,460
22,2,94.69,2,2,330
25,1,116,3,1,278
30,1,146.2,1,2,367
20,4,64,3,1,156
35,4,179,2,4,200
30,6,140.25,3,2,465
25,2,81.16,1,2,226
25,12,93,1,1,236
37,1,255,2,3,1400
30,1,119.12,3,2,340
30,1,209,1,1,600
32,2,175,2,1,680
27,6,140,3,2,530
23,6,90.23,3,2,220
39,1,354,3,4,3200
15,4,67.31,3,2,136
23,1,70.81,3,2,105
23,1,91.54,2,1,112
30,8,203.89,2,1,650
51,1,400,3,1,3500
10,1,41.8,2,4,36.8
39,4,215,1,1,405
30,2,161.06,1,4,440
30,4,142.79,3,2,375
15,8,92.22,2,4,235
25,1,123.25,1,2,318
25,12,107,1,4,95
25,1,109,1,1,312
25,3,126.88,3,4,295
25,1,105.75,2,2,164
10,4,50,3,2,32
30,4,135.52,2,1,262.61
18,1,66,1,1,65
30,1,183,2,2,890
25,1,130.94,1,2,247
25,8,101.85,3,4,213
30,3,136,2,2,520
30,12,178,3,1,950
25,4,134.6,2,4,325
37,4,208.55,3,2,688
25,2,87.78,2,2,498
27,2,121,1,2,415
10,4,53.89,3,4,56
27,1,181.5,2,3,560
20,2,99.57,3,2,142
23,9,81.27,2,2,109
30,4,117,3,1,181
18,2,82,3,2,200
32,4,184,3,3,240
32,2,256.84,1,1,1300
15,4,124.3,2,2,228
30,8,143.99,2,1,233.65
25,12,137.07,2,4,150
10,4,41,2,2,29
25,4,107.55,1,2,389
23,6,95.52,3,2,210
22,1,140.78,3,4,379
22,1,132.79,2,2,317.46
30,12,264.46,2,2,505
23,1,86,1,2,170
30,4,108.71,1,2,279
25,4,93,2,2,199
18,12,81.74,2,4,198
25,1,141.96,2,2,450
18,6,83.63,2,2,208
30,9,157.09,1,2,280
20,4,64.63,2,2,100
32,1,128.02,1,2,650
46,4,278,1,1,1380
22,1,122.75,1,2,360
25,1,130.94,1,2,203
25,1,107.63,2,2,190
30,3,140.74,2,2,206
32,1,193.59,2,2,730
18,1,77.32,1,2,108
18,1,90.43,2,2,520
32,4,187,1,2,296.5
25,1,110,3,1,345
25,1,196,2,1,339
25,1,137,1,2,440
15,3,65,3,2,165
25,2,96.95,3,2,130
25,9,117.14,3,1,257
32,2,127.88,3,2,495
18,12,70,2,2,125
18,12,82.26,3,2,219
25,6,106.05,2,2,328.79
34,1,233,1,1,1550
15,1,81.59,1,2,185
15,6,73.78,2,2,124
20,4,64,3,2,145
20,6,89.31,2,2,118
20,8,73.79,1,2,138
37,1,353.77,3,2,3200
18,12,77.54,1,2,95
25,12,140.14,1,2,297
25,2,188.96,2,2,660
25,1,117,2,2,175
15,12,88.71,1,2,82
22,4,105.47,3,2,235
18,2,82,3,2,200
10,4,51.46,2,2,88
25,4,132.52,2,2,190
25,1,101.88,3,2,122
23,12,74.04,3,4,120
18,6,94.15,3,2,189
30,1,143.8,3,2,348
22,4,141.9,2,2,425
20,12,81.2,2,2,164.2
25,12,139.81,3,2,494.13
25,6,112,3,2,219
20,12,82.09,2,2,162
25,8,99.37,1,2,222
20,1,110.5,2,4,140
25,1,152.03,2,1,200
42,4,315,1,3,505
25,4,89.43,3,2,274
18,12,91.39,3,1,110
23,8,81.99,3,2,176
23,4,88.77,1,2,239
30,2,140.94,1,2,590
25,12,89,2,2,148
22,4,108.72,2,1,148
32,1,135.64,2,1,161
15,8,76.93,1,4,55
22,9,122.65,3,2,218
18,1,84.95,3,2,185
25,4,91,3,2,175
20,2,98.42,2,2,266
18,4,107.59,2,2,155
10,1,45,3,2,70
27,4,185.74,2,2,1080
25,4,117.25,3,2,494
25,1,98,2,2,69
30,4,139,2,1,390
20,12,89.97,3,2,190
30,4,183,3,1,630
23,2,91.38,2,2,238
23,6,102.85,2,2,199.3
32,9,238.49,3,4,500
25,1,103.69,1,2,192
25,1,159.26,3,2,452
30,1,111.36,1,2,150
27,8,135.29,2,1,322
30,4,246.69,3,2,288
15,4,65.3,1,2,173
23,3,88.13,1,2,163
15,4,88.74,2,2,241
22,3,151.66,2,4,299
24,2,180.72,3,2,668
18,1,88.27,2,2,158
20,4,89.06,2,2,220
23,8,72.54,3,2,166
25,1,95.5,1,2,326
23,2,91.91,3,1,303
25,4,107.4,1,1,325
25,1,116.97,3,1,365
18,9,89.14,2,4,180
18,1,70.01,1,2,132
30,2,97.84,1,2,440
25,4,112.06,1,2,255
15,6,88.82,3,2,185
32,4,199.3,3,2,780
23,1,95.28,3,2,196
30,1,98,3,2,220
22,9,90,3,2,150
25,4,106.03,2,2,190
32,8,193.58,1,1,1250
23,1,86.12,3,2,120
25,1,87.46,3,2,169
30,6,190.19,1,2,420
25,1,110.03,1,2,458
27,1,168,1,1,590
15,12,78.36,1,2,200
32,9,178,2,3,680
42,1,141.67,3,3,441
30,1,198.2,3,1,1000
25,12,114.6,2,2,123
30,4,166.5,1,1,720
30,9,140.99,1,1,328
20,12,78.03,2,2,186
20,2,90.25,2,1,101.8
25,1,142.21,1,2,443.75
39,4,210.59,3,2,681
23,12,89.83,1,4,180
25,1,88.82,3,2,268
23,4,87.44,1,2,170
37,2,213.22,3,2,828.62
25,4,110.77,2,2,315
30,1,110.86,3,2,357
25,12,140.89,1,2,138
25,2,88.24,3,2,235
30,4,149,3,2,90
25,8,99.12,3,2,375
25,4,114,3,2,260
23,4,102.96,3,4,145
37,8,239.23,2,1,690
25,4,139.72,1,2,520
30,6,126,1,3,528
18,12,86,2,2,190
36,4,123.88,3,2,237
25,1,119.99,2,1,239.97
30,1,130.45,1,2,290
20,9,88,2,2,238
23,4,78.66,1,2,188
25,1,130.94,1,2,265
37,1,217.69,3,2,1320
29,1,266,3,3,816
23,2,92.16,1,2,300
10,12,54.32,3,2,107
20,8,86.91,3,2,145
27,1,214.6,1,3,635
18,12,79.91,3,2,216
30,8,164.88,1,2,307
25,12,118.17,3,4,122
23,9,115.24,3,2,75
25,1,118,2,4,425
22,12,112.89,1,2,335
25,4,129,3,2,312
25,4,120.05,2,2,198
25,12,113.73,2,2,113
25,1,109.45,3,2,285
22,12,121.57,1,2,253
44,4,316.11,3,1,870
30,4,139.25,2,2,450
30,4,139.04,1,2,410
15,12,91.8,3,1,132
18,4,83.18,3,2,180
20,8,88.91,2,4,128.88
30,1,183.01,2,1,354
25,1,112.75,3,2,530
25,4,99,2,1,220
22,12,151.65,3,2,300
30,1,126.93,1,2,350
25,4,133.09,2,2,300
25,12,98,1,1,73
25,6,94.49,3,2,235
22,4,116.99,2,2,275
15,12,72,2,2,55
18,1,73.64,3,2,128
22,2,118.14,3,1,219.8
18,4,94.75,1,4,190
15,2,71.56,1,4,86
30,1,129,2,2,360
20,9,86.08,2,2,168
34,4,518.84,1,1,1050
15,4,90.12,3,2,204
25,12,136.56,3,1,115.5
18,12,87.17,2,2,140
15,1,59,1,4,63
34,1,313.96,3,4,680
27,12,123.61,3,1,180
23,2,91.38,2,2,238
20,6,109.15,2,4,295
22,4,141.9,2,2,425
35,4,165.61,2,1,365
18,4,82.29,3,4,260
18,1,71.74,2,2,96
32,4,313.52,1,2,840
15,8,74.22,2,2,135
36,12,262.93,2,3,940
35,1,148,2,2,680
25,1,134,2,2,134
