id,name,price,house_type,orientation,area,level,single_price,decoration
31,成华动物园旁地铁加持LOFT自带商业体特价房37万起无,49,1室1厅1卫,南北,37,高层,13243,简装修

32,南北通透改善套四，临公园位置安静，采光无忧，益小在侧,670,4室2厅2卫,南北,153,低层,43791,精装修

33,中海右岸一期3室2厅东满二,198,3室2厅2卫,东,102.71,低层,19278,毛坯

34,（本月必卖房）誉峰一期，三加一双阳台，带双车位，正朝南，精装,890,3室1厅1卫,东南,183,低层,48634,豪华装修

35,水电气三通一梯一户丨南北通透，拎包入住丨麓山板块豪装大平层,320,3室2厅3卫,南,255,低层,12549,豪华装修

36,麓山国际香怡林独栋别墅，南北朝向，上下双花园，有改建，满五年,1600,4室3厅4卫,南,300.39,低层,53264,毛坯

37,176，买四小旁，套三，新小区，业主挥泪急售,176,3室2厅1卫,南北,92.04,中层,19122,毛坯

38,天府新区南湖板块佳兆业君汇上品精装套三拎包入住！,215,3室2厅1卫,南北,89.13,高层,24122,精装修

39,高新区地铁口米一手房无税费中间楼层,171,3室2厅1卫,南,89,高层,19213,毛坯

40,世纪百合尚寓64.32平2居南北向简装修方便看房,55,2室1厅1卫,南北,64.32,高层,8551,简装修

41,捡漏金牛区三环内清盘团购特单价2.1W精装现房,306,4室2厅2卫,南北,130,高层,23538,毛坯

42,锦江东大街；攀成钢区域；对望339太古里等；豪装大平层,770,3室2厅3卫,南北,220,中层,35000,精装修

43,喜欢河景房的看过来朝南视野无敌136万性价比很高一套,136,3室2厅2卫,南,90.93,低层,14957,毛坯

44,中海锦江城云熙二期三室非常正气、采光佳，让您居住非常舒适！,265,3室2厅2卫,东南,99.72,低层,26574,精装修

45,大源天府三街精装修准现房套一套二户型,105,1室1厅1卫,南北,60,中层,17500,精装修

46,龙湖九里晴川3室2厅北精装,270,3室2厅1卫,北,90.37,低层,29877,精装修

47,优品道锦绣毛坯，房东急售，当居住融入环境，心也随之淡定,480,4室2厅3卫,南,161.56,低层,29710,毛坯

48,8月购房政府补贴500每平天府大道旁高品质楼盘带无边际泳,104,3室2厅2卫,南,95,高层,10947,毛坯

49,人居越秀和樾林语113平3居南北向简装修视野无遮挡,260,3室2厅2卫,南北,113,中层,23009,简装修

50,不收中介费还要返钱给你-天府新区总价50万起-买四代住宅,55.6,3室2厅2卫,南北,79,中层,7038,精装修

51,华润品质，2T3户，精装空房，满五，益州，南北通透，方便看房,526,4室2厅2卫,南北,155,低层,33935,精装修

52,戛纳湾滨江3室2厅东南中庭精装,229,3室2厅2卫,东南,107.04,中层,21394,精装修

53,德商华府天骄非常正气，楼层好、采光佳，让您居住非常舒适！,230,4室2厅2卫,西南,87.99,高层,26139,毛坯

54,此房满五，楼层好，采光通风俱佳。,109,2室1厅1卫,东南,57.77,中层,18868,精装修

55,公园旁摸底河畔，中海品质保障，自住精装套三对中庭，保养好！,498,3室2厅2卫,南,134.36,高层,37065,精装修

56,216万买二环德商开发品质保障配套交通成熟,216,3室2厅2卫,东南,107.68,中层,20059,精装修

57,恒大天府半岛二期标准大套二房东诚心出售,230,2室2厅1卫,南,94.75,低层,24274,简装修

58,朝南哈正看湖全新稀缺套三大捡漏了只要51.8万了,51.8,3室2厅1卫,南北,82,中层,6317,精装修

59,南阳盛世近地铁站精装套三满五唯1中间楼层朝南,188,3室1厅1卫,南,103.23,中层,18212,简装修

60,西派城D区4室2厅东,530,4室2厅2卫,东,189.59,高层,27955,精装修

61,翠微清波A区3室2厅北,253,3室2厅2卫,北,112.12,中层,22565,简装修

62,中海锦江城花涧三期完美到极点的房子，只等的您到来,500,4室2厅3卫,东南,158.56,中层,31534,精装修

63,聚星城精装修，可拎包入住，楼层好采光好,138,1室1厅1卫,西,42.32,高层,32609,精装修

64,新上！！城南一号195户型精装修空调带地暖满五,730,4室2厅3卫,南北,193.59,中层,37709,精装修

65,朗基御今缘套3东西包税包过户拿证不临街楼层好,345,3室2厅2卫,东西,96.53,中层,35740,精装修

66,天鹅湖北苑3室1厅东南,300,3室1厅2卫,东南,151.65,高层,19782,精装修

67,金融城西派国际套四保养佳看中庭安静！,752,4室2厅3卫,南北,193.63,高层,38837,精装修

68,美洲花园棕榈湾套2西南包税不临街楼层好包过户拿证,157,2室2厅1卫,西南,75.86,高层,20696,精装修

69,【家诺好房】前后地花园1跃2带地下室！正南北！闹中取静！,860,5室2厅3卫,南,304.73,低层,28222,简装修

70,天鹅湖北苑3室1厅南,298,3室1厅2卫,南,157.82,高层,18882,精装修

71,锦江明珠2室1厅南西,321,2室1厅1卫,南,78.44,高层,40923,精装修

72,"蓝光COCO金沙一期，朝南精装3房,户型正气,楼层好老少皆宜",169,2室2厅1卫,东,69.76,低层,24226,简装修

73,炜岸城一期3室2厅东北,138.8,3室2厅1卫,东北,73.65,中层,18846,精装修

74,建发金沙里3室2厅东南,460,3室2厅2卫,东南,127.24,高层,36152,精装修

75,元益花园2居室空间大低楼层主卧客厅朝南看房,132,2室2厅1卫,南北,70.01,低层,18854,精装修

76,全成都二手房都有-中介费只收-0.5个点-首创国际城3室南,163,3室2厅1卫,东南,81.89,低层,19905,精装修

77,超好的地段！！稀缺天投北鑫苑380万3室1厅1卫毛坯,380,3室1厅1卫,北,100.27,高层,37898,毛坯

78,蜀汉路地铁，12层一梯两户洋房，润扬金沙30度3室2厅西,325,3室2厅2卫,西南,159.96,中层,20318,毛坯

79,950九号公馆房子满五年做了基础装修有车位视野好,657.9,4室2厅2卫,南北,170,中层,38700,简装修

80,六四零万！买卡地亚花园城高楼层标准套四视野开阔正看蔚蓝湖！,540,3室2厅2卫,南北,140.25,低层,38503,毛坯

81,【家诺好房】教科院旁边居家豪装科创社区居家套三双卫,258,3室2厅2卫,南北,95.52,中层,27010,精装修

82,龙湖物业，小区坏静好，安静不吵，清水套三，诚心出售,198,3室1厅2卫,东南,90.32,中层,21922,精装修

83,全成都二手房都有-中介费只收-0.5个点-中海右岸4室西南,259,4室1厅2卫,西南,129.8,中层,19954,毛坯

84,佳乐澜郡夏宫3室2厅东南,126,3室2厅2卫,东南,113.46,中层,11105,毛坯

85,千居朝阳年代新户型方正全明格局舒适电梯公园小区,231,3室2厅2卫,北,125.75,中层,18370,精装修

86,东骏湖景湾三期3室2厅西,160,3室2厅2卫,西,118.22,中层,13534,毛坯

87,青羊俊发时光俊园电梯出行方便诚心出售看房随时,181.5,2室1厅1卫,东南,76.39,高层,23760,简装修

88,精装泳池别墅丨包税（带地下室赠百平花园）实得600㎡丨现房,880,5室3厅4卫,南,237.11,低层,37114,精装修

89,华都美林湾满五对中庭视野开阔,188,2室1厅1卫,东,87.89,中层,21390,简装修

90,天誉南庭3室1厅南,435,3室1厅2卫,南,107,高层,40654,精装修

91,中阶费0.5%嘉美地近地铁站欧尚精装套三安静,188.3,3室1厅1卫,南,86.63,高层,21736,精装修

92,麓山碧湖岸位置景观房大花园300平地势高开阔350,3500,5室4厅4卫,东,509,低层,68762,毛坯

93,犀浦双地铁品质好房122平急售！好房不等人啊，抓紧时间下手,130,3室2厅2卫,南北,122,中层,10656,毛坯

94,朗基望今缘4室2厅南九眼桥，时代豪庭锦天府，滨河湾天誉,1000,4室2厅4卫,南,337.49,低层,29631,精装修

95,"光华逸家，朝南精装3房,户型正气,楼层好老少皆宜,价格可谈",258,3室1厅1卫,南,90.8,高层,28414,精装修

96,天府香城印象3室2厅西北,115,3室2厅1卫,西北,91.37,高层,12586,精装修

97,热卖房源，中大君悦金沙六期，适中楼层，舒适环境，就等你来,228,2室1厅1卫,西南,88.18,高层,25856,精装修

98,天投北鑫苑南区中间楼层本周之内签单价2开头新房流程,312,3室1厅1卫,北,118,中层,26441,毛坯

99,誉峰旁（精装住宅丨正读泡小、）现房拎包入住。文儒德大魔方,170,1室1厅1卫,南北,56,高层,30357,精装修

100,西派澜岸清水叠上东端头位置5居带屋顶花园城市的灵魂,1160,5室2厅5卫,南,295.6,低层,39242,毛坯

101,攀成钢豪宅吉宝凌云峰阁精装5室顶跃有花园仁恒滨河湾,681,5室2厅4卫,南,210.59,高层,32338,精装修

102,全明格局！！户型方正！！业主急出售大降价！！,410,4室2厅2卫,南北,207.83,低层,19728,毛坯

103,三层临湖独栋双证满二正看湖景！,460,4室2厅4卫,南,244,低层,18852,毛坯

104,双华麓港3室2厅南北此房满五年，南北通透，精装修,233.5,3室2厅2卫,南北,115.66,低层,20188,精装修

105,蜀都万达广场4室2厅南北包税包过户包拿证先到先得,125,4室2厅2卫,南北,99.67,低层,12541,精装修

106,汉嘉国际3室2厅北,108,3室2厅1卫,北,91.54,高层,11798,毛坯

107,花园小区，改善户型朗基御今源正对中庭安静客厅大阳,319,4室2厅2卫,北,117.8,低层,27080,毛坯

108,中德英伦联邦B区3室2厅西南,260,3室2厅2卫,西南,89.41,高层,29080,毛坯

109,德商御府天骄洋房公园房业主诚心出售,410,4室2厅2卫,南北,142,高层,28873,精装修

110,人生一梦白云苍狗为您爱的人筑一座温馨家园精装套四等你,270,4室2厅2卫,南,143.92,高层,18760,精装修

111,领域3居一厅首付80多本人已实勘真实信息,151,3室2厅1卫,南北,91.61,中层,16483,精装修

112,洲际亚洲湾B区高档社区拎包入住视线好居住舒适,129,2室2厅1卫,南北,74.71,高层,17267,精装修

113,西派城B区4室2厅东南西北,380,4室2厅2卫,西北,134.63,中层,28226,精装修

114,中海九号公馆190平4室2厅现代简约风格保养好,1175,4室2厅3卫,南,189.66,高层,61953,精装修

115,凯德世纪名邸正规高性价比看着舒心住着放心看房方便,478,4室2厅2卫,南,113.42,低层,42144,精装修

116,蓝光金悦府3室2厅南,155,3室2厅1卫,南,87.28,中层,17759,精装修

117,新上！空中别墅实得面积大！对中庭，安静位置！视野开阔！,450,4室2厅3卫,南,143,高层,31469,毛坯

118,南阳锦城3室2厅南北,202,3室2厅2卫,南北,137.83,中层,14656,简装修

119,东原时光道正规3室2厅楼层好户型方正房龄新,226,3室2厅2卫,东南,89.31,低层,25305,简装修

120,麓湖生态城蓝花屿在售总价位置安静询价,2350,4室4厅6卫,南,421.28,低层,55782,毛坯

121,开发商市中心精装现房地铁300米桐梓林富仁区學区房,210.5,2室2厅1卫,南北,92,中层,22880,精装修

122,麓湖琥珀瀛洲大阳台高品质生态精装好房看麓湖全景,1200,4室2厅4卫,南北,184.12,中层,65175,精装修

123,（真实在售杜绝虚假）软件园旁精装套二过渡型精品户型,205,2室2厅1卫,北,76.55,低层,26780,精装修

124,8号公馆3室2厅西南,122,3室2厅1卫,西南,88.84,中层,13733,精装修

125,锦江三圣乡，华韵天府，套三大阳台，装修保养巴适，绿地468旁,213,3室1厅1卫,西南,70.51,中层,30208,精装修

126,天鹅湖北苑2室1厅南,228,2室1厅1卫,南,124.3,中层,18343,精装修

127,满五！精装房！拎包入住！交通便利！南北通透！,480,3室2厅2卫,东南,141,低层,34043,精装修

128,一环内金牛万达广场旁；1号线6号线双地铁；4.2米跃层准现房,60,2室1厅1卫,西南,54,中层,11111,毛坯

129,北三环230平，，叠拼别墅四层带前后花园，赠送大！,180,4室4厅3卫,南,123,低层,14634,毛坯

130,西岸观邸东南朝向温馨3居室素质住户配套齐全,189,3室1厅1卫,东南,92.78,中层,20371,精装修

131,保利百合南北通透小三居室包税包过户拿证不临街楼层好,310,2室2厅2卫,南北,91.79,高层,33773,精装修

132,保利紫荆花语3室1厅东北,150,3室1厅2卫,东北,90,高层,16667,精装修

133,滨江和城3室2厅东南,236,3室2厅2卫,东南,93,低层,25376,毛坯

134,3.5万/平入手天府一街好房居家装修视野好,330,3室2厅1卫,西,92.18,中层,35800,精装修

135,保利大套四,540,4室2厅2卫,西,137.13,低层,39379,精装修

136,泛悦城市广场经典小3居格局无浪费电梯房可按揭88W,155,3室1厅1卫,北,77.92,高层,19892,简装修

137,【家诺好房】建发翡翠鹭洲核心地段诚意出售！！,270,4室2厅2卫,南北,99.65,高层,27095,精装修

138,万科金域蓝湾采光好低楼层独立客厅包税·包过户拿证,210,3室2厅1卫,东南,82,低层,25610,精装修

139,恒大天府半岛(一期)西南朝向温馨3居室素质住户,296.2,3室2厅2卫,西南,128.29,低层,23088,精装修

140,舒适空间的心情定格！,162,2室1厅1卫,西,85.44,低层,18961,简装修

141,开发商精装，日照好，客厅及三个卧室，还有厨房都有日照,228,3室1厅1卫,东,88.79,低层,25679,精装修

142,成达佳园3室1厅东南,300,3室1厅1卫,东南,150.81,中层,19893,精装修

143,开发商一手绿城诚园怡心湖旁，中间楼层精装修带中央空调高品,385,4室2厅2卫,南北,166.88,高层,23070,精装修

144,曾经的梦想，如今的好房，只要119万元，值得拥有,119,3室1厅1卫,东南,70.45,高层,16891,精装修

145,融创观玺台花园4室1厅南,425,4室1厅2卫,南,136.06,高层,31236,毛坯

146,洲际银海湾2室1厅南,125,2室1厅1卫,南,75.49,低层,16558,简装修

147,海伦国际二期2室2厅北,97,2室2厅1卫,北,84.48,高层,11482,精装修

148,朗诗熙华府开发商精装，恒温恒湿大套四,800,4室2厅2卫,南北,179.39,低层,44596,精装修

149,新上笋盘业主诚心出售教科院视野开阔,305,3室1厅2卫,南北,95.5,高层,31937,精装修

150,又上了套好房子！78.9平米居家装修保养好带阳台,138.5,2室2厅1卫,西,78.9,中层,17554,中装修

151,必看好房.精装40万.没有住过人.中间楼层不临街.诚心出售,139.5,3室2厅2卫,东南,123,中层,11341,精装修

152,金沙兰亭2室2厅西南,218,2室2厅1卫,西南,83.94,高层,25971,简装修

153,好房推荐：银泰中心全新精装三房，实景看交子公园诚心出售,1420,3室2厅3卫,南,366,中层,38798,精装修

154,房子户型挺好的标准的竖厅套三户型，对小区中庭的很安静,181.2,3室1厅1卫,南,107.03,高层,16930,精装修

155,【家诺好房】教科院东保利心语三期精装套三诚心出售,331,3室2厅2卫,南,115.8,高层,28584,精装修

156,保利天空之城3居南北朝向仅契税拎包入住,230,3室1厅2卫,西南,115.01,高层,19998,精装修

157,华府公园旁小高层中间位置满五满五装修套三值得拥有,158,3室2厅1卫,西,87.73,中层,18010,精装修

158,全成都二手房都有-中介费-只收0.5个点-红树湾3室南,231,3室2厅2卫,东南,119.41,高层,19345,精装修

159,看双拼三层就来看我这套！视野开阔！三层双拼大花园诚心出售！,260,5室3厅4卫,南,254,低层,10236,毛坯

160,保利香雪套三,350,3室2厅1卫,西,89.5,高层,39106,精装修

161,中阶费0.5%华宜上锦近地铁站精装套二，带一个车位,150,2室1厅1卫,西,72.11,低层,20802,精装修

162,润扬北城1号2室1厅东南,105,2室1厅2卫,东南,86.29,中层,12168,精装修

163,此房急卖，产权清晰，价格包税且带车位，锦蓉佳苑，华都美林湾旁,180,2室2厅1卫,东南,89.01,低层,20222,简装修

164,江安河畔3居室户型房正采光好不临街新上房源！,139,3室2厅2卫,南北,92.79,中层,14980,精装修

165,万达旁清水小套三客厅对中庭不临街满2不独一刚需的选择,137,3室2厅1卫,西,73.29,高层,18693,毛坯

166,心灵家园带车位采光充通便利主推房源,170,2室2厅1卫,南,83.59,高层,20337,精装修

167,在寂静中品味，在喧闹中生活，此房深情并茂！品质小区,126,3室2厅2卫,南北,100.03,中层,12596,精装修

168,（一线江景房）广福地铁口满五西南朝向位置安静视野开阔,474.8,5室2厅3卫,西南,245,中层,19380,毛坯

169,建发天府鹭洲142实得210平,655,4室2厅2卫,东,142.56,中层,45946,精装修

170,24看房204平西南朝向清水套四低楼层看绿化,704,4室2厅3卫,南北,204.86,低层,34365,简装修

171,招商大魔方精装修3房+南北通透+全配+位置安静+实景拍摄+,1085.95,5室2厅4卫,东南,307.26,低层,35343,精装修

172,保利狮子湖4室1厅东北,145,4室1厅2卫,东北,129.91,低层,11162,毛坯

173,西派国际7栋小高层洋房211平位置安静套五诚售,1300,5室2厅1卫,南北,211.6,低层,61437,精装修

174,北大街文殊院旁长盛苑电梯套二朝南户型方正采光好总价低随时看房,153.8,2室1厅1卫,东南,82.94,高层,18544,精装修

175,紫东芯座婚房2室采光充足南中间楼层,197,2室1厅1卫,南,84.45,高层,23327,简装修

176,正规小4室南北，再喧嚣的城市给您一个小家！,380,4室2厅2卫,南北,125.54,低层,30269,中装修

177,麓山整个小区地势高的组团叠溪谷精装独栋别墅保养好！,2400,5室3厅4卫,东,337.95,低层,71016,精装修

178,高新区城南宜家中海品质楼盘，紧邻公园，自住精装两室,326,2室2厅1卫,东,88.59,高层,36799,精装修

179,石人南路8号院57.07平2居南向简装修拎包入住,99,2室1厅1卫,南,57.07,高层,17347,简装修

180,中海城南华府160平3居南北向精装修通户型，诚心出售,780,3室2厅2卫,南北,160,低层,48750,精装修

181,必看好房华府标准套四居家装修再喧嚣的城市给您一个小家,249,4室2厅2卫,东南,111.5,高层,22332,精装修

182,东原时光道正规3室2厅楼层好户型方正房龄新,226,3室2厅2卫,东南,89.31,低层,25305,简装修

183,九号公馆高档小区，主力户型4室3卫3阳台，没住过人送车位,1130,4室2厅3卫,南北,189.78,中层,59543,精装修

184,绿地468公馆三期电梯小区单价较低中间楼层格局通透,198,2室1厅1卫,南,77.23,中层,25638,精装修

185,地铁口，锦江春天，套三精装修，前后对中庭，视野好，交通便利,256,3室1厅2卫,南北,106.18,高层,24110,精装修

186,新房免佣代理！！太古里旁豪装大平层！品质小区！周边配套齐全！,800,4室2厅3卫,南,240,中层,33333,豪华装修

187,世豪嘉柏3室西南包税不临街楼层好包过户拿证可按揭,186,3室2厅1卫,西南,90.26,中层,20607,精装修

188,红湖公园城3室1厅西南,98,3室1厅1卫,西南,89.63,低层,10934,精装修

189,"紧邻地铁,周边配套设施齐全,性价比保利花园四期",250,3室2厅1卫,东,100.36,低层,24910,精装修

190,人居开发，对面东城花汇，新房现房，全款捡漏，2.2W单价！！,285,3室2厅2卫,东北,113.69,低层,25068,精装修

191,八零零万无高额税费买卡地亚花园城客厅挑高标准套四对中庭看水景,740,4室2厅3卫,南,190,低层,38947,毛坯

192,塔子山壹号，满五套三，带中央空调和地暖，三面采光,318,3室2厅1卫,西南,89.65,高层,35471,精装修

193,金沙府邸，套二精装，前后中庭，地铁口，次新房,238,2室1厅1卫,东南,89.76,低层,26515,精装修

194,此房是中间楼层，朝南安静，套二带书房，客厅有阳台,179,2室2厅2卫,西南,96.91,中层,18471,精装修

195,南阳盛世二期2室1厅西北,143,2室1厅1卫,西北,71.45,中层,20014,精装修

196,房子位置好，采光好，总价低，出行方便，房东南诚心卖！,540,4室2厅2卫,东南,203.23,中层,26571,毛坯

197,满五年！南北通透套三双卫方便看房随时看房,247,3室2厅2卫,南,109.02,低层,22656,精装修

198,店长推荐，汇融悉尼湾，套三精装满五，对中庭，直接入住,135,3室1厅2卫,西,102,高层,13235,简装修

199,天府五街！联排端户！坐北朝南！业主诚心卖随时看房,1150,5室3厅4卫,南,454.96,低层,25277,毛坯

200,无税，龙城1号4室2厅南，精装修，可看房,258,4室2厅2卫,南北,148.01,低层,17431,精装修

201,英郡三期2室2厅东南,212,2室2厅1卫,东南,79.66,高层,26613,简装修

202,荣盛花语城全明格局交通便利好楼层新装2居室南北通透,156,2室1厅1卫,西,63.31,中层,24641,精装修

203,天府江南C区3室1厅西南,88,3室1厅1卫,西南,87.5,高层,10057,简装修

204,空港十六区3室2厅南,198,3室2厅2卫,南,120.73,低层,16400,精装修

205,佳兆业丽晶港2室1厅南包税包过户包拿证先到先得,104,2室1厅1卫,南,71.66,高层,14513,精装修

206,青白江听湖九园凤凰湖畔洋房住宅三室两厅双卫配套齐全安逸舒适,110,3室2厅2卫,南北,115,中层,9565,毛坯

207,三地铁，次新房，龙湖天街旁，人居花照云庭，龙湖紫宸旁,410,4室2厅2卫,南北,156.48,中层,26201,毛坯

208,攀成钢豪宅吉宝凌云峰阁精装5室顶跃有花园仁恒滨河湾,681,5室2厅4卫,南,210.59,高层,32338,精装修

209,南府锦3室2厅西南,235,3室2厅2卫,西南,117.04,高层,20079,简装修

210,"楠博苑，朝南精装3房,户型正气,楼层好老少皆宜,价格可谈",98,2室2厅1卫,南北,74,中层,13243,精装修

211,希望源于失望，奋斗始于忧患适合的房子在于一个懂你的！,160,2室1厅1卫,南,65.91,中层,24276,精装修

212,高新区新川版块精装修水电气三通地铁口600米位置,70,2室1厅1卫,南,55.78,低层,12549,精装修

213,红星桥地铁口府河苑朝河大户型电梯套四户型方正采光好总价低,206,4室2厅2卫,东南,149.94,高层,13739,简装修

214,汉嘉国际4室2厅东南,326,4室2厅2卫,东南,161.78,低层,20151,精装修

215,我的大学3室1厅南,89,3室1厅1卫,南,78.51,高层,11336,精装修

216,【家诺好房】天悦府格局方正诚意出售低总价推荐房源,424.93,4室1厅2卫,东西,133.84,高层,31749,精装修

217,汉嘉国际5室2厅南北,200,5室2厅2卫,南北,137.42,高层,14554,精装修

218,看到它，就是爱上它！万科翡翠公园，心中的太阳！,420,4室2厅2卫,西,121.2,高层,34653,精装修

219,听湖九园4室2厅南,125,4室2厅2卫,南,138.8,高层,9006,精装修

220,价格合适只售131万元真实报价非常合适着急出售,131,3室2厅2卫,东南,81.74,中层,16026,精装修

221,万科物业，首创品质小区，对中庭，视野开阔。,200,3室1厅1卫,东北,85.67,中层,23345,毛坯

222,招商大魔方3室1厅东北,478.72,3室1厅2卫,东北,135.45,低层,35343,精装修

223,看房子就来看我这套！双拼三层视野无遮挡双证满二诚心出售！,303,4室2厅3卫,南,289,低层,10484,毛坯

224,首付10多万，不限够，随便买，正常按揭贷款，跨入城区的小镇,62,3室2厅2卫,南,102,中层,6078,毛坯

225,新上必卖套四！195户型带双车位中海城南一号朝南清水房,1250,4室2厅3卫,南北,193.65,低层,64549,毛坯

226,首创爱这城朝向东南温馨2居室素质住户诚意出售,181,2室2厅1卫,东南,86.5,中层,20925,简装修

227,【家诺好房】天府一街五层真洋房！南北通透看小区中庭诚售,620,4室2厅3卫,南北,173,低层,35838,精装修

228,建发天府鹭洲138实得210平，超大赠送,640,4室1厅2卫,西,138.6,高层,46176,精装修

229,德商御府天骄4居室户型房正采光好不临街新上房源！,438,4室2厅2卫,南,139.04,低层,31502,精装修

230,碧桂园悦府88.6平3居西北向精装修方便看房,168,3室2厅1卫,西北,88.6,中层,18962,精装修

231,都城雅颂居北户型明厨明卫采光好看房随时拎包入住,273,2室2厅2卫,北,93.92,高层,29067,精装修

232,优雅的环境，大气的户型，享受奢华的品质生活，您值得拥有,1680,5室1厅4卫,南北,252.68,中层,66487,豪华装修

233,保利大套三可改套四安静正du教科院客厅正带阳台,420,4室2厅2卫,南北,137.49,高层,30548,毛坯

234,复地上叠带双层花园，实得面积大，南北通透，邻近公园！,680,4室2厅3卫,南,199,低层,34171,毛坯

235,世茂玉锦湾二期3室2厅南,450,3室2厅2卫,南,162.36,低层,27716,简装修

236,麓湖生态城麒麟荟精装大平层朝南视野好满二,1280,3室2厅2卫,南北,190.54,中层,67177,精装修

237,精品好房鹭湖宫六区B组团4室1厅东,150,4室1厅2卫,东,119.75,低层,12526,精装修

238,宏达世纪锦城朝东南对中庭精装修保养好位置安静,204,3室2厅1卫,南,98.94,高层,20619,精装修

239,中海城南一号稀缺顶跃带游泳池实得0平装修好未住过人,2780,5室2厅3卫,东南,370.89,高层,74955,精装修

240,新房：卓越开发|茶店子全南户型三湖三公园视野无遮挡精装华宅,450,4室2厅2卫,南北,142,中层,31690,精装修

241,威兰德小镇3室1厅南包税包过户包拿证先到先得,130,3室1厅1卫,南,78.84,中层,16489,精装修

242,【家诺好房】机会就一次，朋友！不要让好房再次错过，蔡婷推荐,320,3室1厅1卫,东,91.03,高层,35153,简装修

243,朗基御今缘108实得130平,365,3室2厅2卫,东,108.12,低层,33759,毛坯

244,合能枫丹铂麓二期洋房前后带花园花园面积102平方朝南,300,4室2厅3卫,南,150,低层,20000,毛坯

245,南城锦尚核心地段，核心位置，仅契税，诚意出售！！,168,3室2厅2卫,南北,100.72,低层,16680,精装修

246,招商雍华府(1期)2居室空间大低楼层主卧客厅朝南,175,2室2厅1卫,南,88.01,高层,19884,精装修

